imgurl,name,course,cuisine,keyword,summary,ingredients,nutritions,Times
https://recipe52.com/wp-content/uploads/2023/07/Achari-chicken-9-300x300.jpg,Achari Chicken,Dinner Recipes,"North Indian, Pakistani, Punjabi",Achari Chicken,Authentic Achari Chicken recipe with easy spice mix. This north Indian curry tastes so ethereal and flavorful and you can prepare it in one pot in 45 minutes. It is so good to eat with naan or rice.,"['cumin seeds', 'coriander seeds', 'fennel seeds', 'black pepper ', 'dried fenugreek leaves', 'Kashmiri chili ', 'red chili flakes', 'salt', 'oil', 'mustard seed', 'nigella seeds', 'fenugreek seeds', 'ginger garlic paste', 'green chili paste', 'chopped onion ', 'skinless chicken', ' tomato', ' green chilies', 'lemon juice', 'brown sugar', 'yogurt', 'Ginger slices and Cilantro']","{'Calories': '505 kcal', 'Carbohydrates': '14 g', 'Protein': '39 g', 'Fat': '32 g', 'Saturated Fat': '4 g', 'Polyunsaturated Fat': '9 g', 'Monounsaturated Fat': '18 g', 'Trans Fat': '0.1 g', 'Cholesterol': '122 mg', 'Sodium': '571 mg', 'Potassium': '874 mg', 'Fiber': '4 g', 'Sugar': '8 g', 'Vitamin A': '1369 IU', 'Vitamin C': '27 mg', 'Calcium': '124 mg', 'Iron': '3 mg'}","{'PrepTime': '10 minutes', 'CookTime': '30 minutes'}"
https://recipe52.com/wp-content/uploads/2021/06/chana-chaat-14-360x360.jpg,Aloo Chana Chaat,Snack,"Indian, Pakistani","aloo channa chaat, channa chaat","Easy, healthy, extremely versatile Pakistani street style chickpea salad, the aloo channa chaat. One snack that is filling and you can never get bored off. ","['cooked chickpea ', 'cubbed potato ', 'cumin powder', 'red chili powder', 'turmeric', 'salt ', 'water ', 'yogurt', 'sugar', 'chat masala', 'tamarind chutney', 'onion ', 'tomato', 'corriander leaves ', 'green chillies', 'Lemon juice', 'Papri', 'Chat masala', 'Red chilli flakes']","{'Calories': '283 kcal', 'Carbohydrates': '52 g', 'Protein': '10 g', 'Fat': '5 g', 'Saturated Fat': '2 g', 'Polyunsaturated Fat': '1 g', 'Monounsaturated Fat': '1 g', 'Cholesterol': '8 mg', 'Sodium': '755 mg', 'Potassium': '648 mg', 'Fiber': '9 g', 'Sugar': '19 g', 'Vitamin A': '485 IU', 'Vitamin C': '22 mg', 'Calcium': '145 mg', 'Iron': '3 mg'}","{'PrepTime': '20 minutes', 'CookTime': '15 minutes'}"
https://recipe52.com/wp-content/uploads/2019/12/aloo-gosht-3-1-360x360.jpg,Aloo Gosht,Main Course,"Indian, Pakistani",aloo gosht recipe,A delicious aloo gosht stew that is homestyle delicious and perfect comfort food. Serve it with basmati rice or roti. Pair it with fresh green or Indian cucumber salad. ,"['lamb/mutton/beef pieces with bones', 'oil', 'onions sliced ', 'green chilli paste', 'ginger garlic paste', 'coriander powder', 'cumin seeds', 'turmeric powder', 'Kashmiri chilli', 'salt', 'cinnamon', 'black pepper', 'cloves', 'black cardamom', 'tomatoes', 'potatoes', 'Water ', 'green chillies', ' fresh coriander leaves', 'lemon ']","{'Calories': '518 kcal', 'Carbohydrates': '27 g', 'Protein': '17 g', 'Fat': '39 g', 'Saturated Fat': '10 g', 'Polyunsaturated Fat': '7 g', 'Monounsaturated Fat': '20 g', 'Trans Fat': '1 g', 'Cholesterol': '61 mg', 'Sodium': '318 mg', 'Potassium': '868 mg', 'Fiber': '6 g', 'Sugar': '4 g', 'Vitamin A': '535 IU', 'Vitamin C': '51 mg', 'Calcium': '58 mg', 'Iron': '3 mg'}","{'PrepTime': '10 minutes', 'CookTime': '1 hour'}"
https://recipe52.com/wp-content/uploads/2016/11/aloo-palak-recipe-3-1-360x360.jpg,Pakistani Aloo Palak Recipe,"Main Course, vegeterian","Indian, Pakistani",aloo palak recipe,Use fresh organic and baby spinach and bhunofy Pakistani aloo palak well. You'll end up polishing your plate.,"['Fresh spinach without stems', 'oil ', 'garlic ', 'cumin', 'fenugreek seeds', 'black mustard seeds', 'pepper corns', 'coriander powder', 'turmeric powder', 'ginger paste', 'small green chili paste', 'dry fenugreek leaves', 'salt ', 'onion', 'tomatoes', 'potatoes', 'butter ', ' green chilies']",{'Calories': '311 kcal'},"{'PrepTime': '10 minutes', 'CookTime': '25 minutes'}"
https://recipe52.com/wp-content/uploads/2022/04/aloo-tikki-pakistani-3-1-300x300.jpg,Aloo Tikki Recipe,Snack,Indian,Aloo Tikki Recipe,Stick to the proportion in the recipe and they will come out clean and crisp.,"['potato', 'oil', 'onions', 'green chillies', 'ginger garlic paste', 'red chilli flakes', 'cumin powder', 'coriander powder', 'turmeric powder', 'salt ', 'bread crumbs', 'cornflour', 'lemon juice', 'chopped fresh coriander', 'chat masala ']","{'Calories': '113 kcal', 'Carbohydrates': '22 g', 'Protein': '3 g', 'Fat': '2 g', 'Saturated Fat': '1 g', 'Trans Fat': '1 g', 'Sodium': '422 mg', 'Potassium': '411 mg', 'Fiber': '3 g', 'Sugar': '2 g', 'Vitamin A': '135 IU', 'Vitamin C': '19 mg', 'Calcium': '31 mg', 'Iron': '2 mg'}","{'PrepTime': '10 minutes', 'CookTime': '15 minutes', 'ChillingTime': '10 minutes'}"
https://recipe52.com/wp-content/uploads/2022/03/anda-ghotala-10_2-300x300.jpg,Khagina Recipe (Pakistani breakfast),Breakfast,Pakistani,"breakfast, khagina","A Pakistani twist to regular scrambled eggs, so aromatic, spicy, and juicy. Just bhunnofy or sear everything well and it’ll taste great.","['oil', ' onions', 'green chilli paste', 'garlic paste', 'ginger paste', 'coriander powder', 'cumin', 'red chilli powder', 'Kashmiri chilli powder', 'turmeric powder', 'black pepper powder', 'salt or more to taste', 'tomatoes', 'yogurt', 'eggs', 'green chillies', 'chopped coriander leaves']","{'Calories': '270 kcal', 'Carbohydrates': '12 g', 'Protein': '9 g', 'Fat': '21 g', 'Saturated Fat': '3 g', 'Trans Fat': '1 g', 'Cholesterol': '200 mg', 'Sodium': '200 mg', 'Potassium': '385 mg', 'Fiber': '3 g', 'Sugar': '6 g', 'Vitamin A': '1050 IU', 'Vitamin C': '18 mg', 'Calcium': '89 mg', 'Iron': '2 mg'}","{'PrepTime': '10 minutes', 'CookTime': '20 minutes'}"
https://recipe52.com/wp-content/uploads/2022/02/Anday-ka-mesub-14-300x300.jpg,Egg Halwa,"Dessert, Snack","Bohra Cuisine, Pakistani","Anday ka mesub, egg halwa",Make perfect anday ka mesub in first go! With just four pantry ingredients to make this Bohra style Egg Halwa in 25 minutes!,"['ghee', 'eggs', 'sugar', 'cardamom powder', 'sliced nuts ']","{'Calories': '275 kcal', 'Carbohydrates': '23 g', 'Protein': '1 g', 'Fat': '21 g', 'Saturated Fat': '13 g', 'Polyunsaturated Fat': '1 g', 'Monounsaturated Fat': '6 g', 'Trans Fat': '1 g', 'Cholesterol': '69 mg', 'Sodium': '8 mg', 'Potassium': '15 mg', 'Fiber': '1 g', 'Sugar': '22 g', 'Vitamin A': '27 IU', 'Vitamin C': '1 mg', 'Calcium': '4 mg', 'Iron': '1 mg'}","{'PrepTime': '5 minutes', 'CookTime': '20 minutes'}"
https://recipe52.com/wp-content/uploads/2021/12/Green-apple-jam-square-300x300.jpg,Apple Jam,Condiment,World,"appe jam recipe, small bath, freezer jam, Strawberry jam without pectin",This is a small batch quick recipe that can be doubled easily using 2X and 3X options. The flavors of cinnamon and ginger are deliciously delightful in jam.,"[' apples', 'lemon juice', 'water', 'sugar', 'cinnamon', 'grated ginger']","{'Calories': '57 kcal', 'Carbohydrates': '15 g', 'Protein': '1 g', 'Fat': '1 g', 'Saturated Fat': '1 g', 'Polyunsaturated Fat': '1 g', 'Monounsaturated Fat': '1 g', 'Sodium': '1 mg', 'Potassium': '37 mg', 'Fiber': '1 g', 'Sugar': '13 g', 'Vitamin A': '18 IU', 'Vitamin C': '2 mg', 'Calcium': '3 mg', 'Iron': '1 mg'}","{'PrepTime': '10 minutes', 'CookTime': '35 minutes'}"
https://recipe52.com/wp-content/uploads/2017/01/Bajra-roti-1-300x300.jpg,Bajra Roti,Main Course,"Indian, Pakistani",bajra roti recipe,Serve bajra roti warm with jaggery and butter. Or pair it with any Indian veggie. And warm yourself in winters.,"['pearl millet flour ', 'salt ', 'oil ', 'lukewarm water']","{'Calories': '336 kcal', 'Carbohydrates': '60 g', 'Protein': '10 g', 'Fat': '6 g', 'Saturated Fat': '1 g', 'Polyunsaturated Fat': '3 g', 'Monounsaturated Fat': '2 g', 'Trans Fat': '0.01 g', 'Sodium': '300 mg', 'Potassium': '272 mg', 'Calcium': '37 mg', 'Iron': '7 mg'}","{'PrepTime': '10 minutes', 'CookTime': '20 minutes'}"
https://recipe52.com/wp-content/uploads/2022/09/banana-jam-11-360x360.jpg,Banana Jam,Breakfast,World,"banana jam, no pectin jam",This banana jam has a tiny sour tinge that comes naturally from bananas and is intensified with lemon juice which makes it taste really good. Do not take banana jam at face value. Consider adding a tinge of orange color to attract the kids. I didn’t. ,"['banana', 'sugar', 'lemon juice', 'salt', 'cinnamon stick ']","{'Calories': '103 kcal', 'Carbohydrates': '27 g', 'Protein': '1 g', 'Fat': '0.2 g', 'Saturated Fat': '0.1 g', 'Polyunsaturated Fat': '0.04 g', 'Monounsaturated Fat': '0.02 g', 'Sodium': '3 mg', 'Potassium': '183 mg', 'Fiber': '1 g', 'Sugar': '21 g', 'Vitamin A': '33 IU', 'Vitamin C': '6 mg', 'Calcium': '5 mg', 'Iron': '0.2 mg'}","{'PrepTime': '10 minutes', 'CookTime': '40 minutes'}"
